name,identity,CAI
PE_MAGa0010,0.3803,"0.706299010471506
"
PE_MAGa0020,0.2853,"0.7235765751326668
"
PE_MAGa0030,0.2889,"0.7417157284867849
"
PE_MAGa0040,0.4258,"0.7472503603251686
"
PE_MAGa0050,0.2828,"0.7008992530446844
"
PE_MAGa0060,0.27940000000000004,"0.764132922030465
"
PE_MAGa0070,0.25370000000000004,"0.6845198602541613
"
PE_MAGa0080,0.41090000000000004,"0.7051387813019802
"
PE_MAGa0090,0.5208,"0.7778876260541662
"
PE_MAGa0100,0.41869999999999996,"0.8044704090515025
"
PE_MAGa0110,0.7076000000000001,"0.7370404791368426
"
PE_MAGa0120,0.52,"0.7482694873842239
"
PE_MAGa0130,0.7872,"0.8030639687078197
"
PE_MAGa0140,0.3962,"0.7207821884929938
"
PE_MAGa0150,0.3064,"0.7151085659129526
"
PE_MAGa0160,0.3503,"0.7438698051177332
"
PE_MAGa0170,0.4608,"0.726803543573199
"
PE_MAGa0180,0.26670000000000005,"0.7065054599482089
"
PE_MAGa0190,0.5751,"0.7062049965059319
"
PE_MAGa0200,0.36840000000000006,"0.7139739664180632
"
PE_MAGa0210,0.359,"0.7143695143232751
"
PE_MAGa0220,0.6611,"0.6903737257954942
"
PE_MAGa0230,0.3887,"0.6879623993079121
"
PE_MAGa0240,0.45880000000000004,"0.6990895796713825
"
PE_MAGa0250,0.3925,"0.6867177660579621
"
PE_MAGa0260,0.45189999999999997,"0.7101932990116829
"
PE_MAGa0270,0.6315999999999999,"0.6958454375130212
"
PE_MAGa0280,0.3039,"0.7008338316608512
"
PE_MAGa0290,0.6691,"0.8220788775671967
"
PE_MAGa0300,0.636,"0.7809713651608905
"
PE_MAGa0310,0.5977,"0.7311404225622914
"
PE_MAGa0320,0.4676,"0.7178232501787578
"
PE_MAGa0330,0.42210000000000003,"0.7017189592099039
"
PE_MAGa0340,0.4963,"0.727847298429616
"
PE_MAGa0350,0.43,"0.7411105502309185
"
PE_MAGa0360,0.47380000000000005,"0.7967913992579372
"
PE_MAGa0370,0.5749000000000001,"0.7654028155378804
"
PE_MAGa0380,0.4622,"0.7955909687861876
"
PE_MAGa0390,0.5103,"0.7814781081407188
"
PE_MAGa0400,0.5574,"0.7183016386516267
"
PE_MAGa0410,0.2511,"0.7694686221632616
"
PE_MAGa0420,0.39780000000000004,"0.6529678079668654
"
PE_MAGa0430,0.3038,"0.7299429981160838
"
PE_MAGa0440,0.6426999999999999,"0.721433791222321
"
PE_MAGa0450,0.2995,"0.7429801472364742
"
PE_MAGa0460,0.3008,"0.6808227342495325
"
PE_MAGa0470,0.2899,"0.6552146119192024
"
PE_MAGa0480,0.30770000000000003,"0.7238503566880281
"
PE_MAGa0490,0.35240000000000005,"0.722024082921895
"
PE_MAGa0500,0.5326,"0.7104869949780773
"
PE_MAGa0510,0.5768,"0.7634550898669997
"
PE_MAGa0520,0.6451000000000001,"0.7353054758330282
"
PE_MAGa0530,0.5617,"0.7479289994939746
"
PE_MAGa0540,0.4854,"0.6881186003467082
"
PE_MAGa0550,0.49810000000000004,"0.7261743647694264
"
PE_MAGa0560,0.30670000000000003,"0.7575361057557501
"
PE_MAGa0570,0.65,"0.8192907773291913
"
PE_MAGa0580,0.5472,"0.7450172246215826
"
PE_MAGa0590,0.5207,"0.7153351559621608
"
PE_MAGa0600,0.37310000000000004,"0.7517837878784397
"
PE_MAGa0610,0.5497,"0.7554557541716139
"
PE_MAGa0620,0.5842,"0.7688119510076563
"
PE_MAGa0630,0.5,"0.7441925365387105
"
PE_MAGa0640,0.44020000000000004,"0.7076150017269567
"
PE_MAGa0650,0.617,"0.7476777713793393
"
PE_MAGa0660,0.6752,"0.7714684588236033
"
PE_MAGa0670,0.3515,"0.6732616479033414
"
PE_MAGa0680,0.6289,"0.7390334007675994
"
PE_MAGa0690,0.5573,"0.7073615517590188
"
PE_MAGa0700,0.6870999999999999,"0.7170003476097319
"
PE_MAGa0710,0.5061,"0.7343296254656658
"
PE_MAGa0720,0.5912,"0.7524793512837937
"
PE_MAGa0730,0.4167,"0.7314603570371057
"
PE_MAGa0740,0.35590000000000005,"0.7280197275030839
"
PE_MAGa0750,0.48240000000000005,"0.8478780305822042
"
PE_MAGa0760,0.2741,"0.7455856272154557
"
PE_MAGa0770,0.4286,"0.7584947343151937
"
PE_MAGa0780,0.5319,"0.737842226459785
"
PE_MAGa0790,0.4087,"0.7005877703651567
"
PE_MAGa0800,0.4133,"0.6870199122608904
"
PE_MAGa0810,0.3061,"0.7096073971026053
"
PE_MAGa0820,0.5617,"0.7473730732292772
"
PE_MAGa0830,0.5633,"0.7550914665082
"
PE_MAGa0840,0.2743,"0.6984402711340548
"
PE_MAGa0850,0.32630000000000003,"0.7316918642008429
"
PE_MAGa0860,0.4068,"0.6637063083484184
"
PE_MAGa0870,0.33390000000000003,"0.6941699332495322
"
PE_MAGa0880,0.3489,"0.7104468003525807
"
PE_MAGa0890,0.2799,"0.7363622087612572
"
PE_MAGa0900,0.5,"0.7822113210287898
"
PE_MAGa0910,0.264,"0.7190658716244175
"
PE_MAGa0920,0.3454,"0.7130538584641113
"
PE_MAGa0930,0.3146,"0.7493867261161216
"
PE_MAGa0940,0.45659999999999995,"0.7243559091746152
"
PE_MAGa0950,0.4521,"0.7286214004374929
"
PE_MAGa0960,0.37670000000000003,"0.7010666058512831
"
PE_MAGa0970,0.4353,"0.7061445096190926
"
PE_MAGa0980,0.2702,"0.7101772466793386
"
PE_MAGa0990,0.5521,"0.8109043023415118
"
PE_MAGa1000,0.4305,"0.7640691875258773
"
PE_MAGa1010,0.3045,"0.7869588383533401
"
PE_MAGa1020,0.4286,"0.7360635436314126
"
PE_MAGa1030,0.47869999999999996,"0.7951483628856628
"
PE_MAGa1040,0.3592,"0.752290130795709
"
PE_MAGa1050,0.4416,"0.8207721377288995
"
PE_MAGa1060,0.3918,"0.7241372023282668
"
PE_MAGa1070,0.2822,"0.7413638532220913
"
PE_MAGa1080,0.3898,"0.7525898056263378
"
PE_MAGa1090,0.452,"0.7498726334933775
"
PE_MAGa1100,0.594,"0.733669132266216
"
PE_MAGa1110,0.2867,"0.768147076407593
"
PE_MAGa1120,0.2857,"0.7154867754498369
"
PE_MAGa1130,0.4251,"0.7551516643067
"
PE_MAGa1140,0.2994,"0.7755173823008652
"
PE_MAGa1150,0.5455,"0.7098626968570783
"
PE_MAGa1160,0.7219,"0.7984426438872861
"
PE_MAGa1170,0.3354,"0.6998644556586643
"
PE_MAGa1180,0.33270000000000005,"0.7080656014608038
"
PE_MAGa1190,0.25989999999999996,"0.7341384547621642
"
PE_MAGa1200,0.5145000000000001,"0.775704445681159
"
PE_MAGa1210,0.4672,"0.7206009021973304
"
PE_MAGa1220,0.5397,"0.718721220841213
"
PE_MAGa1230,0.7137000000000001,"0.74300560472293
"
PE_MAGa1240,0.2605,"0.6536117576316568
"
PE_MAGa1250,0.4254,"0.6492067225015806
"
PE_MAGa1260,0.6191,"0.7392676844162922
"
PE_MAGa1270,0.3306,"0.7305556462482574
"
PE_MAGa1280,0.255,"0.646008049906963
"
PE_MAGa1290,0.6298,"0.7631480303437277
"
PE_MAGa1300,0.3533,"0.7630303253259326
"
PE_MAGa1310,0.3688,"0.7146739391477855
"
PE_MAGa1320,0.5574,"0.6877267198211457
"
PE_MAGa1330,0.396,"0.7485759334903928
"
PE_MAGa1340,0.5023,"0.6925024596323599
"
PE_MAGa1350,0.5531,"0.7238826713617437
"
PE_MAGa1360,0.5197,"0.7779925500790554
"
PE_MAGa1370,0.25579999999999997,"0.7267911724010268
"
PE_MAGa1380,0.5217,"0.7176364103140537
"
PE_MAGa1390,0.5721,"0.7380995860419005
"
PE_MAGa1400,0.6114,"0.715931819534223
"
PE_MAGa1410,0.2923,"0.7320021255134723
"
PE_MAGa1420,0.2699,"0.7291034665631563
"
PE_MAGa1430,0.5173,"0.7412476897387478
"
PE_MAGa1440,0.5106,"0.7243159100504175
"
PE_MAGa1450,0.4855,"0.746072967594994
"
PE_MAGa1460,0.5246999999999999,"0.7411589092973045
"
PE_MAGa1470,0.4512,"0.7360531500474724
"
PE_MAGa1480,0.3106,"0.7204120918311246
"
PE_MAGa1490,0.4222,"0.6893288992441644
"
PE_MAGa1500,0.3121,"0.7161484742040876
"
PE_MAGa1510,0.399,"0.7504504025404483
"
PE_MAGa1520,0.4532,"0.7469062525237586
"
PE_MAGa1530,0.5789,"0.8250678714420079
"
PE_MAGa1540,0.58,"0.7409172696184796
"
PE_MAGa1550,0.317,"0.7018619092714014
"
PE_MAGa1560,0.3882,"0.7643830793327308
"
PE_MAGa1570,0.4413,"0.7106694486536791
"
PE_MAGa1580,0.6067,"0.7203419963232683
"
PE_MAGa1590,0.6528,"0.7196151439063729
"
PE_MAGa1600,0.6198,"0.781356675454769
"
PE_MAGa1610,0.4349,"0.7586640470671199
"
PE_MAGa1620,0.7404999999999999,"0.7990652745215945
"
